doc_id,company_name,company_aliases,security_code,doc_source_type,report_title,report_date,fiscal_year,broker_name,major_industry,language,currency,exchange,board,market_type,industry_l1,industry_l2,has_pdfcrawl_metadata,source_manifest,source_file_path,pdf_url
600000_2024_20250329,浦发银行,浦发银行|600000,600000,annual_report,上海浦东发展银行股份有限公司2024年年度报告,2025-03-29,2024,,货币金融服务,zh,CNY,上海证券交易所,沪主板,A股,货币金融服务,货币金融服务,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600000/2024/600000_2024_20250329.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-29/600000_20250329_1OTF.pdf
600007_2024_20250401,中国国贸,中国国贸|600007,600007,annual_report,中国国贸2024年年度报告,2025-04-01,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600007/2024/600007_2024_20250401.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-01/600007_20250401_1R4H.pdf
600011_2024_20250326,华能国际,华能国际|600011,600011,annual_report,华能国际2024年年度报告全文,2025-03-26,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600011/2024/600011_2024_20250326.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-26/600011_20250326_5NGS.pdf
600016_2024_20250329,民生银行,民生银行|600016,600016,annual_report,中国民生银行2024年年度报告,2025-03-29,2024,,货币金融服务,zh,CNY,上海证券交易所,沪主板,A股,货币金融服务,货币金融服务,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600016/2024/600016_2024_20250329.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-29/600016_20250329_05GS.pdf
600025_2024_20250425,华能水电,华能水电|600025,600025,annual_report,2024年年度报告,2025-04-25,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600025/2024/600025_2024_20250425.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-25/600025_20250425_QN7U.pdf
600027_2024_20250328,华电国际,华电国际|600027,600027,annual_report,2024年年度报告,2025-03-28,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600027/2024/600027_2024_20250328.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-28/600027_20250328_DNX4.pdf
600032_2024_20250422,浙江新能,浙江新能|600032,600032,annual_report,浙江新能2024年年度报告,2025-04-22,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600032/2024/600032_2024_20250422.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-22/600032_20250422_AVCC.pdf
600064_2024_20250423,南京高科,南京高科|600064,600064,annual_report,南京高科2024年年度报告,2025-04-23,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600064/2024/600064_2024_20250423.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-23/600064_20250423_OBPU.pdf
600079_2024_20250429,人福医药,人福医药|600079,600079,annual_report,人福医药2024年年度报告,2025-04-29,2024,,医药制造业,zh,CNY,上海证券交易所,沪主板,A股,医药生物,医药制造,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600079/2024/600079_2024_20250429.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-29/600079_20250429_A0ME.pdf
600094_2024_20250426,大名城,大名城|600094,600094,annual_report,大名城2024年年度报告,2025-04-26,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600094/2024/600094_2024_20250426.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-26/600094_20250426_MWGA.pdf
